"gameID","season","lineupID","teamRslt","teamLoc","gmDateTime","teamAbbr","opptAbbr","opptRslt","opptlineupID","timeSincePrev","city_played","lat","long","distSincePrev","oppt_timeSincePrev","oppt_distSincePrev","team_starting_WS","team_starting_BPM","team_starting_MP_per_game","team_starting_GSpct","oppt_starting_WS","oppt_starting_BPM","oppt_starting_MP_per_game","oppt_starting_GSpct","team_bench_WS","team_bench_BPM","team_bench_MP_per_game","team_bench_GSpct","oppt_bench_WS","oppt_bench_BPM","oppt_bench_MP_per_game","oppt_bench_GSpct","teamRsltCount","teamGameCount","opptRsltCount","opptGameCount","teamWinPct","opptWinPct","PY_teamWinPct","PY_opptWinPct","teamWinPct2","opptWinPct2","diff_starting_WS","diff_starting_BPM","diff_starting_MP_per_game","diff_starting_GSpct","diff_bench_WS","diff_bench_BPM","diff_bench_MP_per_game","diff_bench_GSpct","diff_WinPct2","diff_timeSincePrev","diff_distSincePrev"
"2016-10-25-CLExNY",2017,"2016-10-25-CLE","Win","Home","2016-10-25 20:00:00","CLE","NY","Loss","2016-10-25-NY",10,"Cleveland",41.48,-81.68,0,10,0,8.63545795008317,3.20921371289579,32.9479762336475,0.855825332008976,4.9991874257766,1.05381570068221,31.1550828829343,0.927616054158607,3.07501968109446,-0.355551880032724,25.0997269606823,0.59242944317315,1.60360398614481,-2.17632205112592,21.1887190444883,0.388389922043768,1,1,1,1,0,0,0.695,0.39,0.695,0.39,3.63627052430657,2.15539801221359,1.79289335071322,-0.0717907221496312,1.47141569494965,1.82077017109319,3.91100791619407,0.204039521129382,0.305,0,0
"2016-10-25-CLExNY",2017,"2016-10-25-NY","Loss","Away","2016-10-25 20:00:00","NY","CLE","Win","2016-10-25-CLE",10,"Cleveland",41.48,-81.68,0,10,0,4.9991874257766,1.05381570068221,31.1550828829343,0.927616054158607,8.63545795008317,3.20921371289579,32.9479762336475,0.855825332008976,1.60360398614481,-2.17632205112592,21.1887190444883,0.388389922043768,3.07501968109446,-0.355551880032724,25.0997269606823,0.59242944317315,1,1,1,1,0,0,0.39,0.695,0.39,0.695,-3.63627052430657,-2.15539801221359,-1.79289335071322,0.0717907221496312,-1.47141569494965,-1.82077017109319,-3.91100791619407,-0.204039521129382,-0.305,0,0
"2016-10-25-PORxUTA",2017,"2016-10-25-POR","Win","Home","2016-10-25 22:00:00","POR","UTA","Loss","2016-10-25-UTA",10,"Portland",45.54,-122.66,0,10,0,5.08813609517916,1.09743206467498,25.0996084504085,0.60481937245818,5.35347071904925,1.45972735242579,28.1056706723298,0.686380771577312,3.90220072874282,-0.133519652417127,22.7917629547837,0.251167292862402,2.09442850897235,-1.80455532894029,18.0902777777778,0.278703703703704,1,1,1,1,0,0,0.537,0.488,0.537,0.488,-0.265334623870091,-0.362295287750807,-3.00606222192126,-0.0815613991191316,1.80777221977047,1.67103567652316,4.70148517700594,-0.0275364108413015,0.049,0,0
"2016-10-25-PORxUTA",2017,"2016-10-25-UTA","Loss","Away","2016-10-25 22:00:00","UTA","POR","Win","2016-10-25-POR",10,"Portland",45.54,-122.66,0,10,0,5.35347071904925,1.45972735242579,28.1056706723298,0.686380771577312,5.08813609517916,1.09743206467498,25.0996084504085,0.60481937245818,2.09442850897235,-1.80455532894029,18.0902777777778,0.278703703703704,3.90220072874282,-0.133519652417127,22.7917629547837,0.251167292862402,1,1,1,1,0,0,0.488,0.537,0.488,0.537,0.265334623870091,0.362295287750807,3.00606222192126,0.0815613991191316,-1.80777221977047,-1.67103567652316,-4.70148517700594,0.0275364108413015,-0.049,0,0
"2016-10-25-GSxSA",2017,"2016-10-25-GS","Loss","Home","2016-10-25 22:30:00","GS","SA","Win","2016-10-25-SA",10,"Oakland",37.77,-122.22,0,10,0,10.3117449130201,4.9777458985505,31.8190024781651,0.897594304885034,6.85080277298473,2.03991079817549,28.1883296042716,0.833244135224333,3.28249280688425,-0.532698009746835,19.2655267826222,0.191636276041114,3.62532850506036,1.2898991566953,18.4350096248487,0.0250479790721239,1,1,1,1,0,0,0.89,0.817,0.89,0.817,3.46094214003539,2.93783510037501,3.63067287389348,0.0643501696607007,-0.342835698176103,-1.82259716644213,0.830517157773556,0.166588296968991,0.0730000000000001,0,0
"2016-10-25-GSxSA",2017,"2016-10-25-SA","Win","Away","2016-10-25 22:30:00","SA","GS","Loss","2016-10-25-GS",10,"Oakland",37.77,-122.22,0,10,0,6.85080277298473,2.03991079817549,28.1883296042716,0.833244135224333,10.3117449130201,4.9777458985505,31.8190024781651,0.897594304885034,3.62532850506036,1.2898991566953,18.4350096248487,0.0250479790721239,3.28249280688425,-0.532698009746835,19.2655267826222,0.191636276041114,1,1,1,1,0,0,0.817,0.89,0.817,0.89,-3.46094214003539,-2.93783510037501,-3.63067287389348,-0.0643501696607007,0.342835698176103,1.82259716644213,-0.830517157773556,-0.166588296968991,-0.0730000000000001,0,0
"2016-10-26-DALxIND",2017,"2016-10-26-DAL","Loss","Away","2016-10-26 19:00:00","DAL","IND","Win","2016-10-26-IND",10,"Indianapolis",39.78,-86.15,0,10,0,5.8787287935208,1.68371991545716,29.9338911223555,0.918815549219553,5.40502190279283,0.487905604254449,31.1849789079512,0.883188032683778,1.93427021353601,-1.23021425986247,14.6198219999462,0.100478610416499,3.90744583922917,-0.531574613817449,26.3060833110338,0.51975738114352,1,1,1,1,0,0,0.512,0.549,0.512,0.549,0.473706890727963,1.19581431120271,-1.25108778559571,0.0356275165357751,-1.97317562569316,-0.69863964604502,-11.6862613110876,-0.419278770727021,-0.037,0,0
"2016-10-26-DALxIND",2017,"2016-10-26-IND","Win","Home","2016-10-26 19:00:00","IND","DAL","Loss","2016-10-26-DAL",10,"Indianapolis",39.78,-86.15,0,10,0,5.40502190279283,0.487905604254449,31.1849789079512,0.883188032683778,5.8787287935208,1.68371991545716,29.9338911223555,0.918815549219553,3.90744583922917,-0.531574613817449,26.3060833110338,0.51975738114352,1.93427021353601,-1.23021425986247,14.6198219999462,0.100478610416499,1,1,1,1,0,0,0.549,0.512,0.549,0.512,-0.473706890727963,-1.19581431120271,1.25108778559571,-0.0356275165357751,1.97317562569316,0.69863964604502,11.6862613110876,0.419278770727021,0.037,0,0
"2016-10-26-MIAxORL",2017,"2016-10-26-MIA","Win","Away","2016-10-26 19:00:00","MIA","ORL","Loss","2016-10-26-ORL",10,"Orlando",28.5,-81.37,0,10,0,4.24468160733271,-0.388573578197992,26.6894441848137,0.447615808318,4.5160909834046,0.0603801332686001,28.6547414981925,0.73769002339691,1.57776409290682,-1.04528498889884,16.0611528739597,0.141302862668046,3.01458579740892,-1.84350560326334,24.272878029634,0.341689153828542,1,1,1,1,0,0,0.585,0.427,0.585,0.427,-0.271409376071888,-0.448953711466592,-1.9652973133788,-0.29007421507891,-1.4368217045021,0.798220614364503,-8.21172515567424,-0.200386291160496,0.158,0,0
"2016-10-26-MIAxORL",2017,"2016-10-26-ORL","Loss","Home","2016-10-26 19:00:00","ORL","MIA","Win","2016-10-26-MIA",10,"Orlando",28.5,-81.37,0,10,0,4.5160909834046,0.0603801332686001,28.6547414981925,0.73769002339691,4.24468160733271,-0.388573578197992,26.6894441848137,0.447615808318,3.01458579740892,-1.84350560326334,24.272878029634,0.341689153828542,1.57776409290682,-1.04528498889884,16.0611528739597,0.141302862668046,1,1,1,1,0,0,0.427,0.585,0.427,0.585,0.271409376071888,0.448953711466592,1.9652973133788,0.29007421507891,1.4368217045021,-0.798220614364503,8.21172515567424,0.200386291160496,-0.158,0,0
