"Player","Depth","Team","teamAbbr","total_MP","G","GS","GSpct","MP_per_game","WS","BPM","Pick","imputed"
"R. Kurucs",4,"Brooklyn","BRK",428.832419833348,37.6415859593532,0.856722586093278,0.0227600023818975,11.3925173157267,0.374252679406333,-3.38423513183902,40,1
"K. Dunn",1,"Chicago","CHI",2858,130,50,0.384615384615385,21.9846153846154,0.473512946116165,-1.0794611616515,5,0
"Z. LaVine",1,"Chicago","CHI",4699,153,104,0.679738562091503,30.7124183006536,2.42779314747819,-1.17205788465631,0,0
"J. Parker",1,"Chicago","CHI",4879,158,125,0.791139240506329,30.879746835443,3.37618364418938,-1.3877843820455,0,0
"L. Markkanen",1,"Chicago","CHI",2020,68,68,1,29.7058823529412,3.3,-1.9,7,0
"R. Lopez",1,"Chicago","CHI",6180,227,227,1,27.2246696035242,4.18228155339806,-0.347621359223301,0,0
"C. Payne",2,"Chicago","CHI",1742,113,15,0.132743362831858,15.4159292035398,0.748679678530425,-2.67807118254879,0,0
"Justin Holiday",2,"Chicago","CHI",4677,207,81,0.391304347826087,22.5942028985507,1.79854607654479,-1.42824460124011,0,0
"B. Portis",2,"Chicago","CHI",3745,199,21,0.105527638190955,18.8190954773869,2.61775700934579,-1.64050734312417,0,0
"C. Hutchison",2,"Chicago","CHI",659.415353728426,48.4727014327309,3.5334248468033,0.0728951501023085,13.6038498832904,0.842962135677249,-2.84030429962865,22,1
"W. Carter Jr.",2,"Chicago","CHI",1497.43674857341,68.557055248455,29.071006817303,0.424041066407358,21.84219761404,1.57640138898108,-2.18313263995646,7,1
"R. Arcidiacono",3,"Chicago","CHI",304,24,0,0,12.6666666666667,0.3,-4.1,0,0
"A. Blakeney",3,"Chicago","CHI",314,19,0,0,16.5263157894737,0,-6.8,0,0
"D. Valentine",3,"Chicago","CHI",3071,134,37,0.276119402985075,22.9179104477612,1.89615760338652,-1.19918593292087,14,0
"C. Felicio",3,"Chicago","CHI",2338,152,20,0.131578947368421,15.3815789473684,2.38755346449957,-0.879341317365269,0,0
"D. Walton Jr.",4,"Chicago","CHI",147,16,0,0,9.1875,0.4,-0.5,0,0
"A. Cleveland",4,"Chicago","CHI",123,17,0,0,7.23529411764706,0,-4.5,0,0
"O. Asik",4,"Chicago","CHI",1842,117,83,0.709401709401709,15.7435897435897,1.33897937024973,-4.29750271444083,0,0
"K. Walker",1,"Charlotte","CHO",8360,240,240,1,34.8333333333333,8.85208133971292,3.60712918660287,0,0
