"gmDateTime","teamLoc","teamAbbr","opptAbbr","gameID","lineupID","opptlineupID","timeSincePrev","city_played","lat","long","distSincePrev","oppt_timeSincePrev","oppt_distSincePrev"
2018-12-21 19:30:00,"Away","ATL","NYK","2018-12-21-ATLxNYK","2018-12-21-ATL","2018-12-21-NYK",3,"New York",40.67,-73.94,12.553027523271,2.02083333333333,1.36077183980269
2018-12-23 16:00:00,"Away","ATL","DET","2018-12-23-ATLxDET","2018-12-23-ATL","2018-12-23-DET",1.85416666666667,"Detroit",42.38,-83.1,9.31824554301935,1.875,7.53029215900685
2018-12-26 19:30:00,"Home","ATL","IND","2018-12-26-ATLxIND","2018-12-26-ATL","2018-12-26-IND",3.14583333333333,"Atlanta",33.76,-84.42,8.72048163807482,3.10416666666667,6.26364909617389
2018-12-28 20:00:00,"Away","ATL","MIN","2018-12-28-ATLxMIN","2018-12-28-ATL","2018-12-28-MIN",2.02083333333333,"Minneapolis",44.96,-93.27,14.2745402728074,2,6.40175757116746
2018-12-29 19:30:00,"Home","ATL","CLE","2018-12-29-ATLxCLE","2018-12-29-ATL","2018-12-29-CLE",0.979166666666667,"Atlanta",33.76,-84.42,14.2745402728074,0.979166666666667,9.02244423645832
2018-12-31 15:00:00,"Away","ATL","IND","2018-12-31-ATLxIND","2018-12-31-ATL","2018-12-31-IND",1.8125,"Indianapolis",39.78,-86.15,6.26364909617389,2.83333333333333,0
2019-01-02 19:00:00,"Away","ATL","WAS","2019-1-2-ATLxWAS","2019-1-2-ATL","2019-1-2-WAS",2.16666666666667,"Washington",38.91,-77.02,9.17135758762029,4,0
2019-01-04 20:30:00,"Away","ATL","MIL","2019-1-4-ATLxMIL","2019-1-4-ATL","2019-1-4-MIL",2.0625,"Milwaukee",43.06,-87.97,11.7100384286304,3.02083333333333,0
2019-01-06 18:00:00,"Home","ATL","MIA","2019-1-6-ATLxMIA","2019-1-6-ATL","2019-1-6-MIA",1.89583333333333,"Atlanta",33.76,-84.42,9.9545215856916,1.91666666666667,9.02244423645832
2019-01-08 19:30:00,"Away","ATL","TOR","2019-1-8-ATLxTOR","2019-1-8-ATL","2019-1-8-TOR",2.0625,"Toronto",43.65,-79.38,11.1001666654154,2,0
2019-01-09 19:30:00,"Away","ATL","BRK","2019-1-9-ATLxBRK","2019-1-9-ATL","2019-1-9-BRK",1,"New York",40.67,-73.94,6.20274132944458,2,3.36382223073694
2019-01-11 19:00:00,"Away","ATL","PHI","2019-1-11-ATLxPHI","2019-1-11-ATL","2019-1-11-PHI",1.97916666666667,"Philadelphia",40.01,-75.13,1.36077183980269,2,2.18680131699247
2019-01-13 15:30:00,"Home","ATL","MIL","2019-1-13-ATLxMIL","2019-1-13-ATL","2019-1-13-MIL",1.85416666666667,"Atlanta",33.76,-84.42,11.1967227348006,1.85416666666667,9.01568078405619
2019-01-15 19:30:00,"Home","ATL","OKC","2019-1-15-ATLxOKC","2019-1-15-ATL","2019-1-15-OKC",2.16666666666667,"Atlanta",33.76,-84.42,0,2.97916666666667,13.2012196406241
2019-01-19 19:30:00,"Home","ATL","BOS","2019-1-19-ATLxBOS","2019-1-19-ATL","2019-1-19-BOS",4,"Atlanta",33.76,-84.42,0,1.02083333333333,15.9115178408598
2019-01-21 15:00:00,"Home","ATL","ORL","2019-1-21-ATLxORL","2019-1-21-ATL","2019-1-21-ORL",1.8125,"Atlanta",33.76,-84.42,0,1.83333333333333,6.08030426870234
2019-01-23 20:00:00,"Away","ATL","CHI","2019-1-23-ATLxCHI","2019-1-23-ATL","2019-1-23-CHI",2.20833333333333,"Chicago",41.84,-87.68,8.71286405265227,2.29166666666667,6.01079029745673
2019-01-26 22:00:00,"Away","ATL","POR","2019-1-26-ATLxPOR","2019-1-26-ATL","2019-1-26-POR",3.08333333333333,"Portland",45.54,-122.66,35.1751389478421,2.04166666666667,16.0046274558329
2019-01-28 22:30:00,"Away","ATL","LAC","2019-1-28-ATLxLAC","2019-1-28-ATL","2019-1-28-LAC",2.02083333333333,"Los Angeles",34.11,-118.41,12.1945643628627,1.29166666666667,0
2019-01-30 22:00:00,"Away","ATL","SAC","2019-1-30-ATLxSAC","2019-1-30-ATL","2019-1-30-SAC",1.97916666666667,"Sacramento",38.57,-121.47,5.40880763200172,3.27083333333333,5.40880763200172
2019-02-01 21:00:00,"Away","ATL","UTA","2019-2-1-ATLxUTA","2019-2-1-ATL","2019-2-1-UTA",1.95833333333333,"Salt Lake City",40.78,-111.93,9.79263498758122,1.9375,11.7384198255131
2019-02-02 21:00:00,"Away","ATL","PHO","2019-2-2-ATLxPHO","2019-2-2-ATL","2019-2-2-PHO",1,"Phoenix",33.54,-112.07,7.2413534646501,4.02083333333333,14.1605084654471
2019-02-04 19:00:00,"Away","ATL","WAS","2019-2-4-ATLxWAS","2019-2-4-ATL","2019-2-4-WAS",1.91666666666667,"Washington",38.91,-77.02,35.4589819368802,2,0
2019-02-07 19:30:00,"Home","ATL","TOR","2019-2-7-ATLxTOR","2019-2-7-ATL","2019-2-7-TOR",3.02083333333333,"Atlanta",33.76,-84.42,9.01568078405619,1.97916666666667,11.1967227348006
2019-02-09 19:30:00,"Home","ATL","CHO","2019-2-9-ATLxCHO","2019-2-9-ATL","2019-2-9-CHO",2,"Atlanta",33.76,-84.42,0,2.95833333333333,12.3880345495159
2019-02-10 19:30:00,"Home","ATL","ORL","2019-2-10-ATLxORL","2019-2-10-ATL","2019-2-10-ORL",1,"Atlanta",33.76,-84.42,0,0.9375,9.9545215856916
2019-02-12 19:30:00,"Home","ATL","LAL","2019-2-12-ATLxLAL","2019-2-12-ATL","2019-2-12-LAL",2,"Atlanta",33.76,-84.42,0,2.16666666666667,11.1967227348006
2019-02-14 19:30:00,"Home","ATL","NYK","2019-2-14-ATLxNYK","2019-2-14-ATL","2019-2-14-NYK",2,"Atlanta",33.76,-84.42,0,1,12.553027523271
2019-02-22 19:30:00,"Home","ATL","DET","2019-2-22-ATLxDET","2019-2-22-ATL","2019-2-22-DET",8,"Atlanta",33.76,-84.42,0,9,15.9115178408598
2019-02-23 19:00:00,"Home","ATL","PHO","2019-2-23-ATLxPHO","2019-2-23-ATL","2019-2-23-PHO",0.979166666666667,"Atlanta",33.76,-84.42,0,2,8.19182519344742
2019-02-25 20:00:00,"Away","ATL","HOU","2019-2-25-ATLxHOU","2019-2-25-ATL","2019-2-25-HOU",2.04166666666667,"Houston",29.77,-95.39,11.6730887086495,1.97916666666667,27.9973016556953
2019-02-27 19:30:00,"Home","ATL","MIN","2019-2-27-ATLxMIN","2019-2-27-ATL","2019-2-27-MIN",1.97916666666667,"Atlanta",33.76,-84.42,11.6730887086495,1.97916666666667,14.2745402728074
2019-03-01 19:30:00,"Home","ATL","CHI","2019-3-1-ATLxCHI","2019-3-1-ATL","2019-3-1-CHI",2,"Atlanta",33.76,-84.42,0,1.97916666666667,5.75070430469173
2019-03-03 15:30:00,"Away","ATL","CHI","2019-3-3-ATLxCHI","2019-3-3-ATL","2019-3-3-CHI",1.83333333333333,"Chicago",41.84,-87.68,8.71286405265227,1.83333333333333,8.71286405265227
2019-03-04 19:30:00,"Away","ATL","MIA","2019-3-4-ATLxMIA","2019-3-4-ATL","2019-3-4-MIA",1.16666666666667,"Miami",25.78,-80.21,17.71226975856,2,0
2019-03-06 19:30:00,"Home","ATL","SAS","2019-3-6-ATLxSAS","2019-3-6-ATL","2019-3-6-SAS",2,"Atlanta",33.76,-84.42,9.02244423645832,1.95833333333333,14.7315342038771
2019-03-09 19:00:00,"Home","ATL","BRK","2019-3-9-ATLxBRK","2019-3-9-ATL","2019-3-9-BRK",2.97916666666667,"Atlanta",33.76,-84.42,0,2.97916666666667,12.553027523271
2019-03-10 18:00:00,"Home","ATL","NOP","2019-3-10-ATLxNOP","2019-3-10-ATL","2019-3-10-NOP",0.958333333333333,"Atlanta",33.76,-84.42,0,1.91666666666667,6.63145534554822
2019-03-13 19:30:00,"Home","ATL","MEM","2019-3-13-ATLxMEM","2019-3-13-ATL","2019-3-13-MEM",3.0625,"Atlanta",33.76,-84.42,0,3.0625,5.75070430469173
