Player,Depth,Team,teamAbbr
V. Oladipo,1,Indiana,IND
B. Bogdanovic,1,Indiana,IND
T. Young,1,Indiana,IND
M. Turner,1,Indiana,IND
C. Joseph,2,Indiana,IND
T. Evans,2,Indiana,IND
D. McDermott,2,Indiana,IND
D. Sabonis,2,Indiana,IND
I. Anigbogu,2,Indiana,IND
A. Holiday,3,Indiana,IND
E. Sumner,3,Indiana,IND
A. Johnson,3,Indiana,IND
T. Leaf,3,Indiana,IND
P. Beverley,1,LA Clippers,LAC
A. Bradley,1,LA Clippers,LAC
D. Gallinari,1,LA Clippers,LAC
T. Harris,1,LA Clippers,LAC
M. Gortat,1,LA Clippers,LAC
M. Teodosic,2,LA Clippers,LAC
L. Williams,2,LA Clippers,LAC
L. Mbah a Moute,2,LA Clippers,LAC
M. Scott,2,LA Clippers,LAC
M. Harrell,2,LA Clippers,LAC
S. Gilgeous-Alexander,3,LA Clippers,LAC
J. Robinson,3,LA Clippers,LAC
W. Johnson,3,LA Clippers,LAC
J. Motley,3,LA Clippers,LAC
B. Marjanovic,3,LA Clippers,LAC
J. Evans,4,LA Clippers,LAC
T. Wallace,4,LA Clippers,LAC
S. Thornwell,5,LA Clippers,LAC
R. Rondo,1,LA Lakers,LAL
K. Caldwell-Pope,1,LA Lakers,LAL
L. James,1,LA Lakers,LAL
B. Ingram,1,LA Lakers,LAL
J. McGee,1,LA Lakers,LAL
L. Ball,2,LA Lakers,LAL
J. Hart,2,LA Lakers,LAL
L. Stephenson,2,LA Lakers,LAL
K. Kuzma,2,LA Lakers,LAL
I. Zubac,2,LA Lakers,LAL
I. Bonga,3,LA Lakers,LAL
S. Mykhailiuk,3,LA Lakers,LAL
M. Beasley,3,LA Lakers,LAL
M. Wagner,3,LA Lakers,LAL
A. Caruso,4,LA Lakers,LAL
T. Wear,4,LA Lakers,LAL
M. Conley,1,Memphis,MEM
W. Selden,1,Memphis,MEM
K. Anderson,1,Memphis,MEM
J. Green,1,Memphis,MEM
M. Gasol,1,Memphis,MEM
S. Mack,2,Memphis,MEM
G. Temple,2,Memphis,MEM
D. Brooks,2,Memphis,MEM
C. Parsons,2,Memphis,MEM
J. Jackson Jr.,2,Memphis,MEM
J. Carter,3,Memphis,MEM
M. Brooks,3,Memphis,MEM
O. Casspi,3,Memphis,MEM
I. Rabb,3,Memphis,MEM
A. Harrison,4,Memphis,MEM
G. Dragic,1,Miami,MIA
D. Wade,1,Miami,MIA
J. Richardson,1,Miami,MIA
J. Johnson,1,Miami,MIA
H. Whiteside,1,Miami,MIA
T. Johnson,2,Miami,MIA
W. Ellington,2,Miami,MIA
J. Winslow,2,Miami,MIA
K. Olynyk,2,Miami,MIA
B. Adebayo,2,Miami,MIA
D. Waiters,3,Miami,MIA
D. Jones Jr.,3,Miami,MIA
U. Haslem,3,Miami,MIA
R. McGruder,4,Miami,MIA
Y. Maten,4,Miami,MIA
E. Bledsoe,1,Milwaukee,MIL
M. Brogdon,1,Milwaukee,MIL
K. Middleton,1,Milwaukee,MIL
G. Antetokounmpo,1,Milwaukee,MIL
B. Lopez,1,Milwaukee,MIL
D. DiVincenzo,2,Milwaukee,MIL
P. Connaughton,2,Milwaukee,MIL
T. Snell,2,Milwaukee,MIL
